"FID","SubGroupName","GroupName","AttackTime","ColorCode","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","AttackedColor","Fate","DropYN","DelayToAttack","AttackedPalatability","AttackedPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo","AttackNb","PrevPalatabality"
18585,"BrownDB"," NA",2019-03-22 00:51:19,1,-1,2019-03-22 00:02:29,0,NA,"Green","Rejected",1,2930,1,"Control",NA,NA,"NA",1,NA
18585,"BrownDB"," NA",2019-03-22 01:32:02,2,-1,2019-03-22 00:02:29,0,NA,"Brown","Rejected",1,5373,0,"DB",NA,NA,"NA",2,1
18586,"GreenDB"," NA",2019-03-22 00:27:23,2,-1,2019-03-22 00:02:30,0,NA,"Brown","Rejected",1,1493,1,"Control",NA,NA,"NA",1,NA
18586,"GreenDB"," NA",2019-03-22 01:29:02,2,-1,2019-03-22 00:02:30,0,NA,"Brown","Rejected",1,5192,1,"Control",NA,NA,"NA",2,1
18586,"GreenDB"," NA",2019-03-22 01:38:21,2,-1,2019-03-22 00:02:30,0,NA,"Brown","Rejected",1,5751,1,"Control",NA,NA,"NA",3,1
18586,"GreenDB"," NA",2019-03-22 01:39:23,1,1,2019-03-22 00:02:30,0,NA,"Green","Consumed",0,5813,0,"DB",NA,NA,"NA",4,1
18587,"BrownDB"," NA",2019-03-22 00:06:18,2,-1,2019-03-22 00:02:20,0,NA,"Brown","Rejected",1,238,0,"DB",NA,NA,"NA",1,NA
18587,"BrownDB"," NA",2019-03-22 00:15:34,1,1,2019-03-22 00:02:20,0,NA,"Green","Consumed",0,794,1,"Control",NA,NA,"NA",2,0
18588,"GreenDB"," NA",2019-03-22 00:36:26,2,-1,2019-03-22 00:03:27,0,NA,"Brown","Rejected",1,1979,1,"Control",NA,NA,"NA",1,NA
18589,"BrownDB"," NA",2019-03-22 00:03:57,2,-1,2019-03-22 00:02:24,0,NA,"Brown","Rejected",1,93,0,"DB",NA,NA,"NA",1,NA
18589,"BrownDB"," NA",2019-03-22 00:05:38,2,-1,2019-03-22 00:02:24,0,NA,"Brown","Rejected",1,194,0,"DB",NA,NA,"NA",2,0
18589,"BrownDB"," NA",2019-03-22 00:07:04,2,-1,2019-03-22 00:02:24,0,NA,"Brown","Rejected",1,280,0,"DB",NA,NA,"NA",3,0
18589,"BrownDB"," NA",2019-03-22 00:08:55,2,-1,2019-03-22 00:02:24,0,NA,"Brown","Rejected",1,391,0,"DB",NA,NA,"NA",4,0
18589,"BrownDB"," NA",2019-03-22 01:41:57,1,1,2019-03-22 00:02:24,0,NA,"Green","Consumed",0,5973,1,"Control",NA,NA,"NA",5,0
18590,"GreenDB"," NA",2019-03-22 00:02:18,2,1,2019-03-22 00:02:05,0,NA,"Brown","Consumed",0,13,1,"Control",NA,NA,"NA",1,NA
18591,"BrownDB"," NA",2019-03-22 00:03:18,1,-1,2019-03-22 00:02:08,0,NA,"Green","Rejected",1,70,1,"Control",NA,NA,"NA",1,NA
18591,"BrownDB"," NA",2019-03-22 00:04:25,2,-1,2019-03-22 00:02:08,0,NA,"Brown","Rejected",1,137,0,"DB",NA,NA,"NA",2,1
18591,"BrownDB"," NA",2019-03-22 00:17:28,2,-1,2019-03-22 00:02:08,0,NA,"Brown","Rejected",1,920,0,"DB",NA,NA,"NA",3,0
18591,"BrownDB"," NA",2019-03-22 00:41:38,1,1,2019-03-22 00:02:08,0,NA,"Green","Consumed",0,2370,1,"Control",NA,NA,"NA",4,0
18593,"BrownDB"," NA",2019-03-22 00:02:44,1,1,2019-03-22 00:02:06,0,NA,"Green","Consumed",0,38,1,"Control",NA,NA,"NA",1,NA
18595,"BrownDB"," NA",2019-03-22 00:21:03,1,-1,2019-03-22 00:00:07,0,NA,"Green","Rejected",1,1256,1,"Control",NA,NA,"NA",1,NA
18595,"BrownDB"," NA",2019-03-22 00:21:12,1,1,2019-03-22 00:00:07,0,NA,"Green","Consumed",0,1265,1,"Control",NA,NA,"NA",2,1
18596,"GreenDB"," NA",2019-03-22 00:03:00,1,1,2019-03-22 00:00:04,0,NA,"Green","Consumed",0,176,0,"DB",NA,NA,"NA",1,NA
18597,"BrownDB"," NA",2019-03-22 00:02:21,2,-1,2019-03-22 00:02:08,0,NA,"Brown","Rejected",1,13,0,"DB",NA,NA,"NA",1,NA
18597,"BrownDB"," NA",2019-03-22 00:02:27,2,-1,2019-03-22 00:02:08,0,NA,"Brown","Rejected",1,19,0,"DB",NA,NA,"NA",2,0
18597,"BrownDB"," NA",2019-03-22 00:03:28,2,-1,2019-03-22 00:02:08,0,NA,"Brown","Rejected",1,80,0,"DB",NA,NA,"NA",3,0
18597,"BrownDB"," NA",2019-03-22 00:05:55,2,1,2019-03-22 00:02:08,0,NA,"Brown","Consumed",0,227,0,"DB",NA,NA,"NA",4,0
18598,"GreenDB"," NA",2019-03-22 00:08:47,1,1,2019-03-22 00:06:00,0,NA,"Green","Consumed",0,167,0,"DB",NA,NA,"NA",1,NA
18599,"GreenDB"," NA",2019-03-22 00:02:47,1,-1,2019-03-22 00:02:38,0,NA,"Green","Rejected",1,9,0,"DB",NA,NA,"NA",1,NA
18599,"GreenDB"," NA",2019-03-22 00:02:48,1,1,2019-03-22 00:02:38,0,NA,"Green","Consumed",0,10,0,"DB",NA,NA,"NA",2,0
18600,"BrownDB"," NA",2019-03-22 00:02:32,1,-1,2019-03-22 00:02:03,0,NA,"Green","Rejected",1,29,1,"Control",NA,NA,"NA",1,NA
18600,"BrownDB"," NA",2019-03-22 00:03:00,2,-1,2019-03-22 00:02:03,0,NA,"Brown","Rejected",1,57,0,"DB",NA,NA,"NA",2,1
18600,"BrownDB"," NA",2019-03-22 00:03:56,1,-1,2019-03-22 00:02:03,0,NA,"Green","Rejected",1,113,1,"Control",NA,NA,"NA",3,0
18600,"BrownDB"," NA",2019-03-22 00:03:59,1,1,2019-03-22 00:02:03,0,NA,"Green","Consumed",0,116,1,"Control",NA,NA,"NA",4,1
18605,"GreenDB"," NA",2019-03-22 00:07:34,2,1,2019-03-22 00:03:15,0,NA,"Brown","Consumed",0,259,1,"Control",NA,NA,"NA",1,NA
18606,"BrownDB"," NA",2019-03-22 00:22:37,1,1,2019-03-22 00:02:38,0,NA,"Green","Consumed",0,1199,1,"Control",NA,NA,"NA",1,NA
18607,"GreenDB"," NA",2019-03-22 00:03:24,1,-1,2019-03-22 00:03:13,0,NA,"Green","Rejected",1,11,0,"DB",NA,NA,"NA",1,NA
18607,"GreenDB"," NA",2019-03-22 00:05:35,2,1,2019-03-22 00:03:13,0,NA,"Brown","Consumed",0,142,1,"Control",NA,NA,"NA",2,0
18608,"BrownDB"," NA",2019-03-22 00:03:50,1,1,2019-03-22 00:03:20,0,NA,"Green","Consumed",0,30,1,"Control",NA,NA,"NA",1,NA
18609,"GreenDB"," NA",2019-03-22 00:04:19,1,-1,2019-03-22 00:03:23,0,NA,"Green","Rejected",1,56,0,"DB",NA,NA,"NA",1,NA
18609,"GreenDB"," NA",2019-03-22 00:05:06,2,1,2019-03-22 00:03:23,0,NA,"Brown","Consumed",0,103,1,"Control",NA,NA,"NA",2,0
18610,"BrownDB"," NA",2019-03-22 00:02:23,1,-1,2019-03-22 00:02:04,0,NA,"Green","Rejected",1,19,1,"Control",NA,NA,"NA",1,NA
18610,"BrownDB"," NA",2019-03-22 00:02:24,1,-1,2019-03-22 00:02:04,0,NA,"Green","Rejected",1,20,1,"Control",NA,NA,"NA",2,1
18610,"BrownDB"," NA",2019-03-22 00:02:28,1,-1,2019-03-22 00:02:04,0,NA,"Green","Rejected",1,24,1,"Control",NA,NA,"NA",3,1
18610,"BrownDB"," NA",2019-03-22 00:03:00,2,-1,2019-03-22 00:02:04,0,NA,"Brown","Rejected",1,56,0,"DB",NA,NA,"NA",4,1
18610,"BrownDB"," NA",2019-03-22 00:03:24,2,-1,2019-03-22 00:02:04,0,NA,"Brown","Rejected",1,80,0,"DB",NA,NA,"NA",5,0
18610,"BrownDB"," NA",2019-03-22 00:13:50,1,1,2019-03-22 00:02:04,0,NA,"Green","Consumed",0,706,1,"Control",NA,NA,"NA",6,0
18611,"GreenDB"," NA",2019-03-22 00:05:18,2,-1,2019-03-22 00:02:03,0,NA,"Brown","Rejected",1,195,1,"Control",NA,NA,"NA",1,NA
18611,"GreenDB"," NA",2019-03-22 00:05:37,2,-1,2019-03-22 00:02:03,0,NA,"Brown","Rejected",1,214,1,"Control",NA,NA,"NA",2,1
18611,"GreenDB"," NA",2019-03-22 00:06:06,2,1,2019-03-22 00:02:03,0,NA,"Brown","Consumed",0,243,1,"Control",NA,NA,"NA",3,1
18612,"GreenDB"," NA",2019-03-22 00:03:17,2,1,2019-03-22 00:02:00,0,NA,"Brown","Consumed",0,77,1,"Control",NA,NA,"NA",1,NA
18613,"BrownDB"," NA",2019-03-22 01:25:50,1,1,2019-03-22 00:02:00,0,NA,"Green","Consumed",0,5030,1,"Control",NA,NA,"NA",1,NA
18614,"BrownDB"," NA",2019-03-22 00:03:10,1,1,2019-03-22 00:02:04,0,NA,"Green","Consumed",0,66,1,"Control",NA,NA,"NA",1,NA
18615,"BrownDB"," NA",2019-03-22 01:00:42,2,-1,2019-03-22 00:02:04,0,NA,"Brown","Rejected",1,3518,0,"DB",NA,NA,"NA",1,NA
18615,"BrownDB"," NA",2019-03-22 01:20:30,1,1,2019-03-22 00:02:04,0,NA,"Green","Consumed",0,4706,1,"Control",NA,NA,"NA",2,0
18616,"GreenDB"," NA",2019-03-22 00:35:23,1,-1,2019-03-22 00:02:38,0,NA,"Green","Rejected",1,1965,0,"DB",NA,NA,"NA",1,NA
18616,"GreenDB"," NA",2019-03-22 00:58:23,1,-1,2019-03-22 00:02:38,0,NA,"Green","Rejected",1,3345,0,"DB",NA,NA,"NA",2,0
18618,"GreenDB"," NA",2019-03-22 00:02:28,1,-1,2019-03-22 00:02:07,0,NA,"Green","Rejected",1,21,0,"DB",NA,NA,"NA",1,NA
18618,"GreenDB"," NA",2019-03-22 00:03:04,2,-1,2019-03-22 00:02:07,0,NA,"Brown","Rejected",1,57,1,"Control",NA,NA,"NA",2,0
18618,"GreenDB"," NA",2019-03-22 00:03:15,1,-1,2019-03-22 00:02:07,0,NA,"Green","Rejected",1,68,0,"DB",NA,NA,"NA",3,1
18618,"GreenDB"," NA",2019-03-22 00:05:35,1,-1,2019-03-22 00:02:07,0,NA,"Green","Rejected",1,208,0,"DB",NA,NA,"NA",4,0
18618,"GreenDB"," NA",2019-03-22 00:05:38,1,-1,2019-03-22 00:02:07,0,NA,"Green","Rejected",1,211,0,"DB",NA,NA,"NA",5,0
18618,"GreenDB"," NA",2019-03-22 00:05:39,1,-1,2019-03-22 00:02:07,0,NA,"Green","Rejected",1,212,0,"DB",NA,NA,"NA",6,0
18618,"GreenDB"," NA",2019-03-22 00:05:55,1,-1,2019-03-22 00:02:07,0,NA,"Green","Rejected",1,228,0,"DB",NA,NA,"NA",7,0
18618,"GreenDB"," NA",2019-03-22 00:05:59,2,-1,2019-03-22 00:02:07,0,NA,"Brown","Rejected",1,232,1,"Control",NA,NA,"NA",8,0
18618,"GreenDB"," NA",2019-03-22 00:16:05,2,-1,2019-03-22 00:02:07,0,NA,"Brown","Rejected",1,838,1,"Control",NA,NA,"NA",9,1
18618,"GreenDB"," NA",2019-03-22 00:22:38,2,1,2019-03-22 00:02:07,0,NA,"Brown","Consumed",0,1231,1,"Control",NA,NA,"NA",10,1
18619,"GreenDB"," NA",2019-03-22 00:10:47,1,-1,2019-03-22 00:03:10,0,NA,"Green","Rejected",1,457,0,"DB",NA,NA,"NA",1,NA
18619,"GreenDB"," NA",2019-03-22 01:13:18,1,-1,2019-03-22 00:03:10,0,NA,"Green","Rejected",1,4208,0,"DB",NA,NA,"NA",2,0
18619,"GreenDB"," NA",2019-03-22 01:13:20,2,-1,2019-03-22 00:03:10,0,NA,"Brown","Rejected",1,4210,1,"Control",NA,NA,"NA",3,0
18619,"GreenDB"," NA",2019-03-22 01:13:24,2,-1,2019-03-22 00:03:10,0,NA,"Brown","Rejected",1,4214,1,"Control",NA,NA,"NA",4,1
18619,"GreenDB"," NA",2019-03-22 02:00:28,1,-1,2019-03-22 00:03:10,0,NA,"Green","Rejected",1,7038,0,"DB",NA,NA,"NA",5,1
18621,"GreenDB"," NA",2019-03-22 00:03:52,2,1,2019-03-22 00:02:43,0,NA,"Brown","Consumed",0,69,1,"Control",NA,NA,"NA",1,NA
18622,"BrownDB"," NA",2019-03-22 00:06:29,1,1,2019-03-22 00:02:24,0,NA,"Green","Consumed",0,245,1,"Control",NA,NA,"NA",1,NA
